movieid,name,genres_general,genres
"103","Unforgettable (1996)","Mystery|Sci-Fi|Thriller","Thriller"
"104","Happy Gilmore (1996)","Comedy","Comedy"
"105","Bridges of Madison County, The (1995)","Drama|Romance","Drama"
"105","Bridges of Madison County, The (1995)","Drama|Romance","Romance"
"106","Nobody Loves Me (Keiner liebt mich) (1994)","Comedy|Drama","Comedy"
"106","Nobody Loves Me (Keiner liebt mich) (1994)","Comedy|Drama","Drama"
"107","Muppet Treasure Island (1996)","Adventure|Children|Comedy|Musical","Adventure"
"107","Muppet Treasure Island (1996)","Adventure|Children|Comedy|Musical","Children"
"107","Muppet Treasure Island (1996)","Adventure|Children|Comedy|Musical","Comedy"
"107","Muppet Treasure Island (1996)","Adventure|Children|Comedy|Musical","Musical"
"108","Catwalk (1996)","Documentary","Documentary"
"110","Braveheart (1995)","Action|Drama|War","Action"
"110","Braveheart (1995)","Action|Drama|War","Drama"
"110","Braveheart (1995)","Action|Drama|War","War"
"111","Taxi Driver (1976)","Crime|Drama|Thriller","Crime"
"111","Taxi Driver (1976)","Crime|Drama|Thriller","Drama"
"111","Taxi Driver (1976)","Crime|Drama|Thriller","Thriller"
"112","Rumble in the Bronx (Hont faan kui) (1995)","Action|Adventure|Comedy|Crime","Action"
"112","Rumble in the Bronx (Hont faan kui) (1995)","Action|Adventure|Comedy|Crime","Adventure"
"112","Rumble in the Bronx (Hont faan kui) (1995)","Action|Adventure|Comedy|Crime","Comedy"
"112","Rumble in the Bronx (Hont faan kui) (1995)","Action|Adventure|Comedy|Crime","Crime"
"113","Before and After (1996)","Drama|Mystery","Drama"
"113","Before and After (1996)","Drama|Mystery","Mystery"
"116","Anne Frank Remembered (1995)","Documentary","Documentary"
"117","Young Poisoner's Handbook, The (1995)","Crime|Drama","Crime"
"117","Young Poisoner's Handbook, The (1995)","Crime|Drama","Drama"
"118","If Lucy Fell (1996)","Comedy|Romance","Comedy"
"118","If Lucy Fell (1996)","Comedy|Romance","Romance"
"119","Steal Big, Steal Little (1995)","Comedy","Comedy"
"121","Boys of St. Vincent, The (1992)","Drama","Drama"
"122","Boomerang (1992)","Comedy|Romance","Comedy"
"122","Boomerang (1992)","Comedy|Romance","Romance"
"123","Chungking Express (Chung Hing sam lam) (1994)","Drama|Mystery|Romance","Drama"
"123","Chungking Express (Chung Hing sam lam) (1994)","Drama|Mystery|Romance","Mystery"
"123","Chungking Express (Chung Hing sam lam) (1994)","Drama|Mystery|Romance","Romance"
"125","Flirting With Disaster (1996)","Comedy","Comedy"
"126","NeverEnding Story III, The (1994)","Adventure|Children|Fantasy","Adventure"
"126","NeverEnding Story III, The (1994)","Adventure|Children|Fantasy","Children"
"126","NeverEnding Story III, The (1994)","Adventure|Children|Fantasy","Fantasy"
"128","Jupiter's Wife (1994)","Documentary","Documentary"
"129","Pie in the Sky (1996)","Comedy|Romance","Comedy"
"129","Pie in the Sky (1996)","Comedy|Romance","Romance"
"132","Jade (1995)","Thriller","Thriller"
"135","Down Periscope (1996)","Comedy","Comedy"
"137","Man of the Year (1995)","Documentary","Documentary"
"140","Up Close and Personal (1996)","Drama|Romance","Drama"
"140","Up Close and Personal (1996)","Drama|Romance","Romance"
"141","Birdcage, The (1996)","Comedy","Comedy"
"144","Brothers McMullen, The (1995)","Comedy","Comedy"
"145","Bad Boys (1995)","Action|Comedy|Crime|Drama|Thriller","Action"
"145","Bad Boys (1995)","Action|Comedy|Crime|Drama|Thriller","Comedy"
"145","Bad Boys (1995)","Action|Comedy|Crime|Drama|Thriller","Crime"
"145","Bad Boys (1995)","Action|Comedy|Crime|Drama|Thriller","Drama"
"145","Bad Boys (1995)","Action|Comedy|Crime|Drama|Thriller","Thriller"
"146","Amazing Panda Adventure, The (1995)","Adventure|Children","Adventure"
"146","Amazing Panda Adventure, The (1995)","Adventure|Children","Children"
"147","Basketball Diaries, The (1995)","Drama","Drama"
"148","Awfully Big Adventure, An (1995)","Drama","Drama"
"149","Amateur (1994)","Crime|Drama|Thriller","Crime"
"149","Amateur (1994)","Crime|Drama|Thriller","Drama"
"149","Amateur (1994)","Crime|Drama|Thriller","Thriller"
"150","Apollo 13 (1995)","Adventure|Drama|IMAX","Adventure"
"150","Apollo 13 (1995)","Adventure|Drama|IMAX","Drama"
"150","Apollo 13 (1995)","Adventure|Drama|IMAX","IMAX"
"151","Rob Roy (1995)","Action|Drama|Romance|War","Action"
"151","Rob Roy (1995)","Action|Drama|Romance|War","Drama"
"151","Rob Roy (1995)","Action|Drama|Romance|War","Romance"
"151","Rob Roy (1995)","Action|Drama|Romance|War","War"
"152","Addiction, The (1995)","Drama|Horror","Drama"
"152","Addiction, The (1995)","Drama|Horror","Horror"
"153","Batman Forever (1995)","Action|Adventure|Comedy|Crime","Action"
"153","Batman Forever (1995)","Action|Adventure|Comedy|Crime","Adventure"
"153","Batman Forever (1995)","Action|Adventure|Comedy|Crime","Comedy"
"153","Batman Forever (1995)","Action|Adventure|Comedy|Crime","Crime"
"154","Beauty of the Day (Belle de jour) (1967)","Drama","Drama"
"155","Beyond Rangoon (1995)","Adventure|Drama|War","Adventure"
"155","Beyond Rangoon (1995)","Adventure|Drama|War","Drama"
"155","Beyond Rangoon (1995)","Adventure|Drama|War","War"
"156","Blue in the Face (1995)","Comedy|Drama","Comedy"
"156","Blue in the Face (1995)","Comedy|Drama","Drama"
"157","Canadian Bacon (1995)","Comedy|War","Comedy"
"157","Canadian Bacon (1995)","Comedy|War","War"
"158","Casper (1995)","Adventure|Children","Adventure"
"158","Casper (1995)","Adventure|Children","Children"
"159","Clockers (1995)","Crime|Drama|Mystery","Crime"
"159","Clockers (1995)","Crime|Drama|Mystery","Drama"
"159","Clockers (1995)","Crime|Drama|Mystery","Mystery"
"160","Congo (1995)","Action|Adventure|Mystery|Sci-Fi","Action"
"160","Congo (1995)","Action|Adventure|Mystery|Sci-Fi","Adventure"
"160","Congo (1995)","Action|Adventure|Mystery|Sci-Fi","Mystery"
"160","Congo (1995)","Action|Adventure|Mystery|Sci-Fi","Sci-Fi"
"161","Crimson Tide (1995)","Drama|Thriller|War","Drama"
"161","Crimson Tide (1995)","Drama|Thriller|War","Thriller"
"161","Crimson Tide (1995)","Drama|Thriller|War","War"
"162","Crumb (1994)","Documentary","Documentary"
"163","Desperado (1995)","Action|Romance|Western","Action"
"163","Desperado (1995)","Action|Romance|Western","Romance"
"163","Desperado (1995)","Action|Romance|Western","Western"
"164","Devil in a Blue Dress (1995)","Crime|Film-Noir|Mystery|Thriller","Crime"
"164","Devil in a Blue Dress (1995)","Crime|Film-Noir|Mystery|Thriller","Film-Noir"
"164","Devil in a Blue Dress (1995)","Crime|Film-Noir|Mystery|Thriller","Mystery"
"164","Devil in a Blue Dress (1995)","Crime|Film-Noir|Mystery|Thriller","Thriller"
"165","Die Hard: With a Vengeance (1995)","Action|Crime|Thriller","Action"
"165","Die Hard: With a Vengeance (1995)","Action|Crime|Thriller","Crime"
"165","Die Hard: With a Vengeance (1995)","Action|Crime|Thriller","Thriller"
"166","Doom Generation, The (1995)","Comedy|Crime|Drama","Comedy"
"166","Doom Generation, The (1995)","Comedy|Crime|Drama","Crime"
"166","Doom Generation, The (1995)","Comedy|Crime|Drama","Drama"
"168","First Knight (1995)","Action|Drama|Romance","Action"
"168","First Knight (1995)","Action|Drama|Romance","Drama"
"168","First Knight (1995)","Action|Drama|Romance","Romance"
"169","Free Willy 2: The Adventure Home (1995)","Adventure|Children|Drama","Adventure"
"169","Free Willy 2: The Adventure Home (1995)","Adventure|Children|Drama","Children"
"169","Free Willy 2: The Adventure Home (1995)","Adventure|Children|Drama","Drama"
"170","Hackers (1995)","Action|Adventure|Crime|Thriller","Action"
"170","Hackers (1995)","Action|Adventure|Crime|Thriller","Adventure"
"170","Hackers (1995)","Action|Adventure|Crime|Thriller","Crime"
"170","Hackers (1995)","Action|Adventure|Crime|Thriller","Thriller"
"171","Jeffrey (1995)","Comedy|Drama","Comedy"
"171","Jeffrey (1995)","Comedy|Drama","Drama"
"172","Johnny Mnemonic (1995)","Action|Sci-Fi|Thriller","Action"
"172","Johnny Mnemonic (1995)","Action|Sci-Fi|Thriller","Sci-Fi"
"172","Johnny Mnemonic (1995)","Action|Sci-Fi|Thriller","Thriller"
"173","Judge Dredd (1995)","Action|Crime|Sci-Fi","Action"
"173","Judge Dredd (1995)","Action|Crime|Sci-Fi","Crime"
"173","Judge Dredd (1995)","Action|Crime|Sci-Fi","Sci-Fi"
"174","Jury Duty (1995)","Comedy","Comedy"
"175","Kids (1995)","Drama","Drama"
"176","Living in Oblivion (1995)","Comedy","Comedy"
"177","Lord of Illusions (1995)","Horror","Horror"
"178","Love & Human Remains (1993)","Comedy|Drama","Comedy"
"178","Love & Human Remains (1993)","Comedy|Drama","Drama"
"179","Mad Love (1995)","Drama|Romance","Drama"
"179","Mad Love (1995)","Drama|Romance","Romance"
"180","Mallrats (1995)","Comedy|Romance","Comedy"
"180","Mallrats (1995)","Comedy|Romance","Romance"
"181","Mighty Morphin Power Rangers: The Movie (1995)","Action|Children","Action"
"181","Mighty Morphin Power Rangers: The Movie (1995)","Action|Children","Children"
"183","Mute Witness (1994)","Comedy|Horror|Thriller","Comedy"
"183","Mute Witness (1994)","Comedy|Horror|Thriller","Horror"
"183","Mute Witness (1994)","Comedy|Horror|Thriller","Thriller"
"184","Nadja (1994)","Drama","Drama"
"185","Net, The (1995)","Action|Crime|Thriller","Action"
"185","Net, The (1995)","Action|Crime|Thriller","Crime"
"185","Net, The (1995)","Action|Crime|Thriller","Thriller"
"186","Nine Months (1995)","Comedy|Romance","Comedy"
"186","Nine Months (1995)","Comedy|Romance","Romance"
"187","Party Girl (1995)","Comedy","Comedy"
"188","Prophecy, The (1995)","Fantasy|Horror|Mystery","Fantasy"
"188","Prophecy, The (1995)","Fantasy|Horror|Mystery","Horror"
"188","Prophecy, The (1995)","Fantasy|Horror|Mystery","Mystery"
"189","Reckless (1995)","Comedy|Fantasy","Comedy"
"189","Reckless (1995)","Comedy|Fantasy","Fantasy"
"190","Safe (1995)","Thriller","Thriller"
"191","Scarlet Letter, The (1995)","Drama|Romance","Drama"
"191","Scarlet Letter, The (1995)","Drama|Romance","Romance"
"193","Showgirls (1995)","Drama","Drama"
"194","Smoke (1995)","Comedy|Drama","Comedy"
"194","Smoke (1995)","Comedy|Drama","Drama"
"195","Something to Talk About (1995)","Comedy|Drama|Romance","Comedy"
"195","Something to Talk About (1995)","Comedy|Drama|Romance","Drama"
"195","Something to Talk About (1995)","Comedy|Drama|Romance","Romance"
"196","Species (1995)","Horror|Sci-Fi","Horror"
"196","Species (1995)","Horror|Sci-Fi","Sci-Fi"
"198","Strange Days (1995)","Action|Crime|Drama|Mystery|Sci-Fi|Thriller","Action"
"198","Strange Days (1995)","Action|Crime|Drama|Mystery|Sci-Fi|Thriller","Crime"
"198","Strange Days (1995)","Action|Crime|Drama|Mystery|Sci-Fi|Thriller","Drama"
"198","Strange Days (1995)","Action|Crime|Drama|Mystery|Sci-Fi|Thriller","Mystery"
"198","Strange Days (1995)","Action|Crime|Drama|Mystery|Sci-Fi|Thriller","Sci-Fi"
"198","Strange Days (1995)","Action|Crime|Drama|Mystery|Sci-Fi|Thriller","Thriller"
"199","Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","Drama|Musical|Romance","Drama"
"199","Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","Drama|Musical|Romance","Musical"
"199","Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","Drama|Musical|Romance","Romance"
"201","Three Wishes (1995)","Drama|Fantasy","Drama"
"201","Three Wishes (1995)","Drama|Fantasy","Fantasy"
"202","Total Eclipse (1995)","Drama|Romance","Drama"
"202","Total Eclipse (1995)","Drama|Romance","Romance"
"203","To Wong Foo, Thanks for Everything! Julie Newmar (1995)","Comedy","Comedy"
"204","Under Siege 2: Dark Territory (1995)","Action","Action"
"205","Unstrung Heroes (1995)","Comedy|Drama","Comedy"
"205","Unstrung Heroes (1995)","Comedy|Drama","Drama"
"206","Unzipped (1995)","Documentary","Documentary"
"207","Walk in the Clouds, A (1995)","Drama|Romance","Drama"
"207","Walk in the Clouds, A (1995)","Drama|Romance","Romance"
"208","Waterworld (1995)","Action|Adventure|Sci-Fi","Action"
"208","Waterworld (1995)","Action|Adventure|Sci-Fi","Adventure"
"208","Waterworld (1995)","Action|Adventure|Sci-Fi","Sci-Fi"
"209","White Man's Burden (1995)","Drama","Drama"
"210","Wild Bill (1995)","Western","Western"
"211","Browning Version, The (1994)","Drama","Drama"
"212","Bushwhacked (1995)","Adventure|Comedy|Crime|Mystery","Adventure"
"212","Bushwhacked (1995)","Adventure|Comedy|Crime|Mystery","Comedy"
"212","Bushwhacked (1995)","Adventure|Comedy|Crime|Mystery","Crime"
"212","Bushwhacked (1995)","Adventure|Comedy|Crime|Mystery","Mystery"
"213","Burnt by the Sun (Utomlyonnye solntsem) (1994)","Drama","Drama"
"214","Before the Rain (Pred dozhdot) (1994)","Drama|War","Drama"
"214","Before the Rain (Pred dozhdot) (1994)","Drama|War","War"
"215","Before Sunrise (1995)","Drama|Romance","Drama"
"215","Before Sunrise (1995)","Drama|Romance","Romance"
"216","Billy Madison (1995)","Comedy","Comedy"
"217","Babysitter, The (1995)","Drama|Thriller","Drama"
"217","Babysitter, The (1995)","Drama|Thriller","Thriller"
"218","Boys on the Side (1995)","Comedy|Drama","Comedy"
"218","Boys on the Side (1995)","Comedy|Drama","Drama"
