"variance","skewness","curtosis","entropy","class"
2.5328,7.528,-0.41929,-2.6478,"genuine"
3.9121,2.9735,0.92852,0.60558,"genuine"
-1.9458,11.2217,1.9079,-3.4405,"genuine"
-0.7869,9.5663,-3.7867,-7.5034,"genuine"
2.4235,9.5332,-3.0789,-2.7746,"genuine"
-1.0555,0.79459,-1.6968,-0.46768,"forgery"
-0.11783,-1.5789,8.03,-0.028031,"genuine"
2.2928,9.0386,-3.2417,-1.2991,"genuine"
-2.8957,-12.0205,11.9149,-2.7552,"forgery"
-4.6765,-5.6636,10.969,-0.33449,"forgery"
1.9358,8.1654,-0.023425,-2.2586,"genuine"
4.9264,5.496,-2.4774,-0.50648,"genuine"
-1.8969,-6.7893,5.2761,-0.32544,"forgery"
4.8906,-3.3584,3.4202,1.0905,"genuine"
-2.659,-1.6058,1.3647,0.16464,"forgery"
-3.3582,-7.2404,11.4419,-0.57113,"forgery"
0.90407,3.3708,-4.4987,-3.6965,"forgery"
4.7181,10.0153,-3.9486,-3.8582,"genuine"
-4.0025,-13.4979,17.6772,-3.3202,"forgery"
5.1776,8.2316,-3.2511,-1.5694,"genuine"
0.72252,-0.053811,5.6703,-1.3509,"genuine"
-3.9172,2.6652,0.78886,-0.7819,"forgery"
1.2999,2.5762,2.0107,-0.18967,"genuine"
4.8851,1.5995,-0.00029081,1.6401,"genuine"
-2.0659,1.0512,-0.46298,-1.0974,"forgery"
2.3969,0.23589,4.8477,1.437,"genuine"
-7.0421,9.2,0.25933,-4.6832,"forgery"
3.4647,-3.9172,3.9746,0.36119,"genuine"
0.25943,5.0097,-5.0394,-6.3862,"forgery"
0.23874,2.0879,-3.3522,-0.66553,"forgery"
4.7965,6.9859,-1.9967,-0.35001,"genuine"
-2.7028,1.6327,0.83598,-0.091393,"forgery"
-3.3863,-12.9889,13.0545,-2.7202,"forgery"
-0.87834,3.257,-3.6778,-3.2944,"forgery"
5.0214,8.0764,-3.0515,-1.7155,"genuine"
4.0102,10.6568,-4.1388,-5.0646,"genuine"
2.108,6.7955,-0.1708,0.4905,"genuine"
2.1274,5.1939,-1.7971,-1.1763,"genuine"
-2.0662,0.16967,-1.0054,-0.82975,"forgery"
2.6415,7.586,-0.28562,-1.6677,"genuine"
4.2969,7.617,-2.3874,-0.96164,"genuine"
0.96708,3.8426,-4.9314,-4.1323,"forgery"
-2.8391,-6.63,10.4849,-0.42113,"forgery"
-0.74324,-0.32902,-0.42785,0.23317,"forgery"
1.934,-9.2828e-06,4.816,-0.33967,"genuine"
5.2418,10.5388,-4.1174,-4.2797,"genuine"
5.8519,5.3905,-2.4037,-0.061652,"genuine"
0.83292,7.5404,0.65005,-0.92544,"genuine"
-2.5754,-5.6574,6.103,0.65214,"forgery"
-1.4904,-2.2183,1.6054,0.89394,"forgery"
3.9362,10.1622,-3.8235,-4.0172,"genuine"
3.577,2.4004,1.8908,0.73231,"genuine"
-0.93587,-5.1008,4.5367,1.3866,"forgery"
4.6439,-3.3729,2.5976,0.55257,"genuine"
-2.2527,11.5321,2.5899,-3.2737,"genuine"
-4.0173,-8.3123,12.4547,-1.4375,"forgery"
-1.8356,-6.7562,5.0585,-0.55044,"forgery"
-3.1128,-6.841,10.7402,-1.0172,"forgery"
0.6005,1.9327,-3.2888,-0.32415,"forgery"
1.0191,2.33,4.9334,0.82929,"genuine"
-0.52645,-0.24832,-0.45613,0.41938,"forgery"
-0.71494,-4.4448,2.2241,0.49826,"forgery"
-5.0301,7.5032,-0.13396,-7.5034,"forgery"
4.0713,10.4023,-4.1722,-4.7582,"genuine"
-2.9672,-13.2869,13.4727,-2.6271,"forgery"
4.0026,-3.5943,3.5573,0.26809,"genuine"
3.8999,1.734,1.6011,0.96765,"genuine"
-0.81479,-5.7381,4.3919,0.3211,"forgery"
1.3349,6.1189,0.46497,0.49826,"genuine"
3.4805,9.7008,-3.7541,-3.4379,"genuine"
-0.8734,-0.033118,-0.20165,0.55774,"forgery"
-3.8858,-12.8461,12.7957,-3.1353,"forgery"
-2.0066,-6.719,9.0162,0.099985,"forgery"
0.98296,3.4226,-3.9692,-1.7116,"forgery"
-2.484,12.1611,2.8204,-3.7418,"genuine"
1.5631,0.89599,-1.9702,0.65472,"forgery"
0.32924,-4.4552,4.5718,-0.9888,"genuine"
3.2303,7.8384,-3.5348,-1.2151,"genuine"
-1.3414,-2.0776,2.8093,0.60688,"forgery"
-2.1241,-6.8969,5.5992,-0.47156,"forgery"
-2.1786,-6.4479,6.0344,-0.20777,"forgery"
4.9362,7.6046,-2.3429,-0.85302,"genuine"
3.866,-2.6383,1.9242,0.10645,"genuine"
-4.8392,6.6755,-0.24278,-6.5775,"forgery"
-0.62684,-6.301,4.7843,1.106,"forgery"
4.65,-4.8297,3.4553,-0.25174,"genuine"
1.0607,2.4542,2.5188,-0.17027,"genuine"
4.2772,2.4955,0.48554,0.36119,"genuine"
0.66018,10.3878,-1.4029,-3.9151,"genuine"
-1.005,0.084831,-0.2462,0.45688,"forgery"
4.988,7.2052,-3.2846,-1.1608,"genuine"
2.8261,9.4007,-3.3034,-1.0509,"genuine"
1.5356,9.1772,-2.2718,-0.73535,"genuine"
-1.4275,11.8797,0.41613,-6.9978,"genuine"
-5.2049,7.259,0.070827,-7.3004,"forgery"
0.86736,5.5643,1.6765,-0.16769,"genuine"
3.7321,-3.884,3.3577,-0.0060486,"genuine"
-0.0068919,9.2931,-0.41243,-1.9638,"genuine"
3.0672,-4.4117,3.8238,-0.81682,"genuine"
1.5904,2.2121,-3.1183,-0.11725,"forgery"
3.6667,4.302,0.55923,0.33791,"genuine"
4.6562,7.6398,-2.4243,-1.2384,"genuine"
-3.9698,3.6812,-0.60008,-4.0133,"forgery"
3.6894,9.887,-4.0788,-4.3664,"genuine"
4.0405,0.51524,1.0279,1.106,"genuine"
-1.6988,-7.1163,5.7902,0.16723,"forgery"
5.438,9.4669,-4.9417,-3.9202,"genuine"
2.6562,10.7044,-3.3085,-4.0767,"genuine"
0.89566,7.7763,-2.7473,-1.9353,"genuine"
-2.7769,-5.6967,5.9179,0.37671,"forgery"
5.2012,0.32694,0.17965,1.1797,"genuine"
-2.7723,3.2777,-0.9351,-3.1457,"forgery"
-3.5985,-13.6593,17.6052,-2.4927,"forgery"
3.9433,2.5017,1.5215,0.903,"genuine"
1.7452,4.8028,2.0878,0.62627,"genuine"
-1.1667,-1.4237,2.9241,0.66119,"forgery"
-2.565,-5.7899,6.0122,0.046968,"forgery"
4.2406,-2.4852,1.608,0.7155,"genuine"
4.2899,9.1814,-4.6067,-4.3263,"genuine"
-0.9854,-6.661,5.8245,0.5461,"forgery"
-5.9034,6.5679,0.67661,-6.6797,"forgery"
-2.8829,3.8964,-0.1888,-1.1672,"forgery"
2.1881,2.7356,1.3278,-0.1832,"genuine"
-0.49081,2.8452,-3.6436,-3.1004,"forgery"
-3.3203,-0.02691,2.9618,-0.44958,"forgery"
-0.95923,-6.7128,4.9857,0.32886,"forgery"
-0.89569,3.0025,-3.6067,-3.4457,"forgery"
-1.3931,1.5664,7.5382,0.78403,"genuine"
-1.749,-6.332,6.0987,0.14266,"forgery"
-1.5055,0.070346,6.8681,-0.50648,"genuine"
-0.82053,0.65181,-0.48869,-0.52716,"forgery"
4.3634,0.46351,1.4281,2.0202,"genuine"
4.6014,5.6264,-2.1235,0.19309,"genuine"
-2.7419,11.4038,2.5394,-5.5793,"genuine"
-2.2804,-0.30626,1.3347,1.3763,"forgery"
-0.86339,1.9348,-2.3729,-1.0897,"forgery"
1.3264,1.0326,5.6566,-0.41337,"genuine"
1.6408,4.2503,-4.9023,-2.6621,"forgery"
3.1541,-5.1711,6.5991,0.57455,"genuine"
-1.7344,2.0175,7.7618,0.93532,"genuine"
3.0934,-2.9177,2.2232,0.22283,"genuine"
0.24835,7.6439,0.9885,-0.87371,"genuine"
-3.6227,3.9958,-0.35845,-3.9047,"forgery"
0.77805,6.6424,-1.1425,-1.0573,"genuine"
0.87603,6.8141,0.84198,-0.17156,"genuine"
5.1213,8.5565,-3.3917,-1.5474,"genuine"
1.0284,9.767,-1.3687,-1.7853,"genuine"
1.0987,0.6394,5.989,-0.58277,"genuine"
-3.506,-12.5667,15.1606,-0.75216,"forgery"
-2.1674,0.12415,-1.0465,-0.86208,"forgery"
4.616,10.1788,-4.2185,-4.4245,"genuine"
3.9771,11.1513,-3.9272,-4.3444,"genuine"
1.4479,-4.8794,8.3428,-2.1086,"genuine"
-4.7331,-6.1789,11.388,-1.0741,"forgery"
3.0329,2.2948,2.1135,0.35084,"genuine"
-1.0833,-0.31247,1.2815,0.41291,"forgery"
-3.0265,-0.062088,0.68604,-0.055186,"forgery"
0.89606,10.5471,-1.4175,-4.0327,"genuine"
2.6213,5.7919,0.065686,-1.5759,"genuine"
2.2596,-0.033118,4.7355,-0.2776,"genuine"
-3.3553,0.35591,2.6473,-0.37846,"forgery"
3.2718,1.7837,2.1161,0.61334,"genuine"
-3.8953,4.0392,-0.3019,-2.1836,"forgery"
2.9571,-4.5938,5.9068,0.57196,"genuine"
-0.40804,0.54214,-0.52725,0.6586,"forgery"
4.8451,8.1116,-2.9512,-1.4724,"genuine"
3.4092,5.4049,-2.5228,-0.89958,"genuine"
0.7049,0.17174,-1.7859,0.36119,"forgery"
0.37984,0.70975,0.75716,-0.44441,"genuine"
1.4507,8.7903,-2.2324,-0.65259,"genuine"
-0.12624,10.3216,-3.7121,-6.1185,"genuine"
3.482,-4.1634,3.5008,-0.078462,"genuine"
3.9479,-3.7723,2.883,0.019813,"genuine"
1.2572,4.8731,-5.2861,-5.8741,"forgery"
-3.9297,-6.0816,10.0958,-1.0147,"forgery"
4.1711,8.722,-3.0224,-0.59699,"genuine"
0.0096613,3.5612,-4.407,-4.4103,"forgery"
5.6272,10.0857,-4.2931,-3.8142,"genuine"
0.20216,1.9182,-3.2828,-0.61768,"forgery"
-3.2854,4.0372,-0.45356,-1.8228,"forgery"
3.106,9.5414,-4.2536,-4.003,"genuine"
3.245,6.63,-0.63435,0.86937,"genuine"
0.74067,1.7299,-3.1963,-0.1457,"forgery"
2.6799,3.1349,0.34073,0.58489,"genuine"
0.88298,0.66009,6.0096,-0.43277,"genuine"
-1.6641,-1.3678,1.997,0.52283,"forgery"
-2.7611,-10.5099,9.0239,-1.9547,"forgery"
-0.89809,-4.4862,2.2009,0.50731,"forgery"
-0.62043,0.5587,-0.38587,-0.66423,"forgery"
3.1088,3.1122,0.80857,0.4336,"genuine"
2.8521,9.171,-3.6461,-1.2047,"genuine"
2.0007,1.8644,2.6491,0.47369,"genuine"
1.0637,3.6957,-4.1594,-1.9379,"forgery"
3.0864,-2.5845,2.2309,0.30947,"genuine"
-1.2424,-1.7175,-0.52553,-0.21036,"forgery"
0.95626,2.4728,4.4578,0.21636,"genuine"
4.0047,0.45937,1.3621,1.6181,"genuine"
-3.518,2.8763,0.1548,-1.2086,"forgery"
-6.3679,8.0102,0.4247,-3.2207,"forgery"
2.565,8.633,-2.9941,-1.3082,"genuine"
-1.5572,-9.8808,8.1088,-1.0806,"forgery"
-2.62,-6.8555,6.2169,-0.62285,"forgery"
2.9499,2.2493,1.3458,-0.037083,"genuine"
-2.2918,-7.257,7.9597,0.9211,"forgery"
1.762,4.3682,2.1384,0.75429,"genuine"
-0.26654,-0.64562,-0.42014,0.89136,"forgery"
1.6349,3.286,2.8753,0.087054,"genuine"
-1.8439,-8.6475,7.6796,-0.66682,"forgery"
2.229,9.6325,-3.1123,-2.7164,"genuine"
-5.0676,-5.1877,10.4266,-0.86725,"forgery"
-0.062025,6.1975,1.099,-1.131,"genuine"
-0.64326,2.4748,-2.9452,-1.0276,"forgery"
1.581,0.86909,-2.3138,0.82412,"forgery"
-2.5463,3.1101,-0.83228,-3.0358,"forgery"
1.518,5.6946,0.094818,-0.026738,"genuine"
2.9742,8.96,-2.9024,-1.0379,"genuine"
0.12126,0.22347,-0.47327,0.97024,"forgery"
2.5331,2.9135,-0.822,-0.12243,"genuine"
3.4663,1.1112,1.7425,1.3388,"genuine"
3.8832,6.4023,-2.432,-0.98363,"genuine"
4.3365,-3.584,3.6884,0.74912,"genuine"
0.66365,-0.045533,-0.18794,0.23447,"forgery"
3.8481,10.1539,-3.8561,-4.2228,"genuine"
3.5156,10.1891,-4.2759,-4.978,"genuine"
-1.8343,-6.5907,5.6429,0.54998,"forgery"
-1.8974,3.5074,-1.7842,-3.8491,"forgery"
0.93611,8.6413,-1.6351,-1.3043,"genuine"
0.47368,3.3605,-4.5064,-4.0431,"forgery"
-2.0897,10.8265,2.3603,-3.4198,"genuine"
3.4769,-0.15314,2.53,2.4495,"genuine"
-0.13144,-1.7775,8.3316,0.35214,"genuine"
-0.55355,-7.9233,6.7156,0.74394,"forgery"
0.24394,1.4733,-1.4192,-0.58535,"forgery"
3.9922,-4.4676,3.7304,-0.1095,"genuine"
2.5068,1.1588,3.9249,0.12585,"genuine"
-1.5222,10.8409,2.7827,-4.0974,"genuine"
-3.8552,3.5219,-0.38415,-3.8608,"forgery"
-0.69572,8.6165,1.8419,-4.3289,"genuine"
5.7227,5.8312,-2.4097,-0.24527,"genuine"
0.20977,-0.46146,7.7267,0.90946,"genuine"
3.3299,0.91254,1.5806,0.39352,"genuine"
5.0452,3.8964,-1.4304,0.86291,"genuine"
0.24261,0.57318,-1.9402,0.44007,"forgery"
-1.1005,-7.2508,6.0139,0.36895,"forgery"
0.80355,2.8473,4.3439,0.6017,"genuine"
0.46901,-0.63321,7.3848,0.36507,"genuine"
1.0182,9.109,-0.62064,-1.7129,"genuine"
1.1315,7.9212,1.093,-2.8444,"genuine"
-1.3971,3.3191,-1.3927,-1.9948,"forgery"
2.2279,4.0951,-4.8037,-2.1112,"forgery"
-0.24037,-1.7837,2.135,1.2418,"forgery"
-4.0679,2.4955,0.79571,-1.1039,"forgery"
3.2692,3.4184,0.20706,-0.066824,"genuine"
3.931,1.8541,-0.023425,1.2314,"genuine"
0.63655,5.2022,-5.2159,-6.1211,"forgery"
-1.9966,-9.5001,9.682,-0.12889,"forgery"
-5.4808,8.1819,0.27818,-5.0323,"forgery"
-2.2153,11.9625,0.078538,-7.7853,"genuine"
3.9719,1.0367,0.75973,1.0013,"genuine"
4.9249,0.68906,0.77344,1.2095,"genuine"
2.8033,9.0862,-3.3668,-1.0224,"genuine"
3.9364,10.5885,-3.725,-4.3133,"genuine"
-2.5701,-6.8452,8.9999,2.1353,"forgery"
2.6606,3.1681,1.9619,0.18662,"genuine"
-3.6961,-13.6779,17.5795,-2.6181,"forgery"
-1.6029,-0.38903,1.62,1.9103,"forgery"
-1.9922,11.6542,2.6542,-5.2107,"genuine"
3.9899,-2.7066,2.3946,0.86291,"genuine"
0.049175,6.1437,1.7828,-0.72113,"genuine"
-2.3277,1.4381,-0.82114,-1.2862,"forgery"
-0.39816,5.9781,1.3912,-1.1621,"genuine"
4.7926,1.7071,-0.051701,1.4926,"genuine"
-2.3147,3.6668,-0.6969,-1.2474,"forgery"
0.50813,0.47799,-1.9804,0.57714,"forgery"
2.4196,6.4665,-0.75688,0.228,"genuine"
-2.1979,-2.1252,1.7151,0.45171,"forgery"
3.5288,0.71596,1.9507,1.9375,"genuine"
3.8117,10.1457,-4.0463,-4.5629,"genuine"
3.7522,-3.6978,3.9943,1.3051,"genuine"
1.3049,-0.15521,6.4911,-0.75346,"genuine"
2.2091,7.4556,-1.3284,-3.3021,"genuine"
-0.38388,-1.0471,8.0514,0.49567,"genuine"
2.3164,-2.628,3.1529,-0.08622,"genuine"
4.5645,-3.6275,2.8684,0.27714,"genuine"
0.84546,3.4826,-3.6307,-1.3961,"forgery"
3.4985,3.1639,0.22677,-0.1651,"genuine"
-2.258,-9.3263,9.3727,-0.85949,"forgery"
-2.4835,-7.4494,6.8964,-0.64484,"forgery"
3.1557,2.8908,0.59693,0.79825,"genuine"
2.3678,-6.839,8.4207,-0.44829,"genuine"
4.7114,2.0755,-0.2702,1.2379,"genuine"
1.0117,0.9022,-2.3506,0.42714,"forgery"
-2.0759,10.8223,2.6439,-4.837,"genuine"
4.5679,3.1929,-2.1055,0.29653,"genuine"
-1.5228,-6.4789,5.7568,0.87325,"forgery"
1.2247,8.7779,-2.2135,-0.80647,"genuine"
-2.3299,-9.9532,8.4756,-1.8733,"forgery"
5.0185,8.5978,-2.9375,-1.281,"genuine"
-1.5322,-5.0966,6.6779,0.17498,"forgery"
1.296,4.2855,-4.8457,-2.9013,"forgery"
3.8644,3.7061,0.70403,0.35214,"genuine"
-3.5895,-6.572,10.5251,-0.16381,"forgery"
-3.5801,-12.9309,13.1779,-2.5677,"forgery"
-4.9462,3.5716,0.82742,-1.4957,"forgery"
3.1452,5.825,-0.51439,-1.4944,"genuine"
0.11739,6.2761,-1.5495,-2.4746,"genuine"
1.0652,8.3682,-1.4004,-1.6509,"genuine"
2.8084,11.3045,-3.3394,-4.4194,"genuine"
0.38478,6.5989,-0.3336,-0.56466,"genuine"
-1.0116,-0.19038,-0.90597,0.003003,"forgery"
-1.5075,1.9224,7.1466,0.89136,"genuine"
-1.3389,1.552,7.0806,1.031,"genuine"
0.16358,-3.3584,1.3749,1.3569,"forgery"
-1.7064,3.3088,-2.2829,-2.1978,"forgery"
3.9772,0.33521,2.2566,2.1625,"genuine"
3.5189,6.332,-1.7791,-0.020273,"genuine"
-5.637,8.1261,0.13081,-5.0142,"forgery"
2.3729,10.4726,-3.0087,-3.2013,"genuine"
-6.651,6.7934,0.68604,-7.5887,"forgery"
-1.2576,1.5892,7.0078,0.42455,"genuine"
-3.8826,4.898,-0.92311,-5.0801,"forgery"
-2.1333,1.5685,-0.084261,-1.7453,"forgery"
3.8584,0.78425,1.1033,1.7008,"genuine"
5.3915,9.9946,-3.8081,-3.3642,"genuine"
0.2346,-4.5152,2.1195,1.4448,"forgery"
1.8373,6.1292,0.84027,0.55257,"genuine"
-1.6001,-9.5828,9.4044,0.081882,"forgery"
1.602,6.1251,0.52924,0.47886,"genuine"
-3.1875,-7.5756,11.8678,-0.57889,"forgery"
1.6799,4.2068,-4.5398,-2.3931,"forgery"
-0.27802,8.1881,-3.1338,-2.5276,"genuine"
-0.23356,3.2405,-3.0669,-2.7784,"forgery"
-2.0042,-9.3676,9.3333,-0.10303,"forgery"
-2.3142,-0.68494,1.9833,-0.44829,"forgery"
-2.2617,-4.7428,6.3489,0.11162,"forgery"
3.7635,2.7811,0.66119,0.34179,"genuine"
2.5089,6.841,-0.029423,0.44912,"genuine"
3.7731,7.2073,-1.6814,-0.94742,"genuine"
4.1425,-3.6792,3.8281,1.6297,"genuine"
-1.4427,3.2922,-1.9702,-3.4392,"forgery"
3.5251,0.7201,1.6928,0.64438,"genuine"
-0.71868,-5.7154,3.8298,1.0233,"forgery"
4.068,-2.9363,2.1992,0.50084,"genuine"
-1.7697,3.4329,-1.2144,-2.3789,"forgery"
3.7758,7.1783,-1.5195,0.40128,"genuine"
0.74428,-3.7723,1.6131,1.5754,"forgery"
1.04,-6.9321,8.2888,-1.2991,"genuine"
3.8213,0.23175,2.0133,2.0564,"genuine"
0.0040545,0.62905,-0.64121,0.75817,"forgery"
-0.8734,1.6533,-2.1964,-0.78061,"forgery"
5.7823,5.5788,-2.4089,-0.056479,"genuine"
0.88992,2.2638,-3.1046,-0.11855,"forgery"
-0.89409,3.1991,-1.8219,-2.9452,"forgery"
3.5438,1.2395,1.997,2.1547,"genuine"
4.4069,10.9072,-4.5775,-4.4271,"genuine"
2.5698,-4.4076,5.9856,0.078002,"genuine"
1.8384,6.063,0.54723,0.51248,"genuine"
2.1526,-6.1665,8.0831,-0.34355,"genuine"
-1.48,-10.5244,9.9176,-0.5026,"forgery"
-5.4414,7.2363,0.10938,-7.5642,"forgery"
4.0329,0.23175,0.89082,1.1823,"genuine"
-1.2244,1.7485,-1.4801,-1.4181,"forgery"
1.2138,8.7986,-2.1672,-0.74182,"genuine"
-1.6514,-8.4985,9.1122,1.2379,"forgery"
-5.1661,8.0433,0.044265,-4.4983,"forgery"
-2.341,12.3784,0.70403,-7.5836,"genuine"
3.3951,1.1484,2.1401,2.0862,"genuine"
-2.5373,-6.959,8.8054,1.5289,"forgery"
-0.46651,2.3383,-2.9812,-1.0431,"forgery"
0.12326,8.9848,-0.9351,-2.4332,"genuine"
0.85574,0.0082678,6.6042,-0.53104,"genuine"
-2.343,12.9516,3.3285,-5.9426,"genuine"
2.3925,9.798,-3.0361,-2.8224,"genuine"
0.21084,9.4359,-0.094543,-1.859,"genuine"
3.1896,5.7526,-0.18537,-0.30087,"genuine"
2.7744,6.8576,-1.0671,0.075416,"genuine"
-4.1479,7.1225,-0.083404,-6.4172,"forgery"
-0.28696,3.1784,-3.5767,-3.1896,"forgery"
2.8237,2.8597,0.19678,0.57196,"genuine"
-3.7503,-13.4586,17.5932,-2.7771,"forgery"
-2.1234,1.1815,-0.55552,-0.81165,"forgery"
3.6181,-3.7454,2.8273,-0.71208,"genuine"
-1.1022,-5.8395,4.5641,0.68705,"forgery"
1.7331,3.9544,-4.7412,-2.5017,"forgery"
1.4578,-0.08485,4.1785,0.59136,"genuine"
2.8672,10.0008,-3.2049,-3.1095,"genuine"
-3.1158,-8.6289,10.4403,0.97153,"forgery"
-3.0986,-10.4602,8.9717,-2.3427,"forgery"
0.75896,0.29176,-1.6506,0.83834,"forgery"
-4.3967,4.9601,-0.64892,-5.4719,"forgery"
1.2706,8.035,-0.19651,-2.1888,"genuine"
-1.3274,9.498,2.4408,-5.2689,"genuine"
1.5701,7.9129,0.29018,-2.1953,"genuine"
4.0962,10.1891,-3.9323,-4.1827,"genuine"
2.0922,-6.81,8.4636,-0.60216,"genuine"
-1.5768,10.843,2.5462,-2.9362,"genuine"
-1.6706,-2.09,1.584,0.71162,"forgery"
5.2756,0.13863,0.12138,1.1435,"genuine"
4.4549,2.4976,1.0313,0.96894,"genuine"
-2.7914,1.7734,6.7756,-0.39915,"genuine"
-2.0754,1.2767,-0.64206,-1.2642,"forgery"
2.4673,1.3926,1.7125,0.41421,"genuine"
2.3136,10.6651,-3.5288,-4.7672,"genuine"
-3.4917,-12.1736,14.3689,-0.61639,"forgery"
4.7285,2.1065,-0.28305,1.5625,"genuine"
5.591,10.4643,-4.3839,-4.3379,"genuine"
4.0446,11.1741,-4.3582,-4.7401,"genuine"
2.9856,7.2673,-0.409,-2.2431,"genuine"
-0.539,-5.167,3.4399,0.052141,"forgery"
-1.6936,2.7852,-2.1835,-1.9276,"forgery"
-1.8629,-0.84841,2.5377,0.097399,"forgery"
-3,-9.1566,9.5766,-0.73018,"forgery"
-4.3773,-5.5167,10.939,-0.4082,"forgery"
-1.2528,10.2036,2.1787,-5.6038,"genuine"
3.2414,0.40971,1.4015,1.1952,"genuine"
0.062525,2.9301,-3.5467,-2.6737,"forgery"
-4.0214,-12.8006,15.6199,-0.95647,"forgery"
3.8027,0.81529,2.1041,1.0245,"genuine"
0.01727,8.693,1.3989,-3.9668,"genuine"
2.2034,5.9947,0.53009,0.84998,"genuine"
-0.025314,-0.17383,-0.11339,1.2198,"forgery"
-0.3489,3.1929,-3.4054,-3.1832,"forgery"
1.645,7.8612,-0.87598,-3.5569,"genuine"
4.3483,11.1079,-4.0857,-4.2539,"genuine"
1.7875,4.78,-5.1362,-3.2362,"forgery"
-2.5526,-7.3625,6.9255,-0.66811,"forgery"
-0.048008,-0.56078,7.7215,0.453,"genuine"
1.1472,3.5985,1.9387,-0.43406,"genuine"
4.0422,-4.391,4.7466,1.137,"genuine"
0.52855,0.96427,4.0243,-1.0483,"genuine"
-0.55648,3.2136,-3.3085,-2.7965,"forgery"
-2.4554,-9.0407,8.862,-0.86983,"forgery"
2.2893,3.733,0.6312,-0.39786,"genuine"
-0.0012852,0.13863,-0.19651,0.0081754,"forgery"
-3.3884,-8.215,10.3315,0.98187,"forgery"
0.0031201,-4.0061,1.7956,0.91722,"forgery"
4.2756,-2.6528,2.1375,0.94437,"genuine"
0.50225,0.65388,-1.1793,0.39998,"forgery"
-0.11716,0.60422,-0.38587,-0.059065,"forgery"
-1.8219,-6.8824,5.4681,0.057313,"forgery"
-2.3361,11.9604,3.0835,-5.4435,"genuine"
-2.9662,-10.3257,8.784,-2.1138,"forgery"
4.9294,0.27727,0.20792,0.33662,"genuine"
5.0691,0.21313,0.20278,1.2095,"genuine"
6.5633,9.8187,-4.4113,-3.2258,"genuine"
3.0333,-2.5928,2.3183,0.303,"genuine"
-5.3857,9.1214,-0.41929,-5.9181,"forgery"
-0.66008,-3.226,3.8058,1.1836,"forgery"
0.39012,-0.14279,-0.031994,0.35084,"forgery"
5.6084,10.3009,-4.8003,-4.3534,"genuine"
-0.28015,3.0729,-3.3857,-2.9155,"forgery"
-0.77848,3.4019,-3.4859,-3.5569,"forgery"
-1.3612,10.694,1.7022,-2.9026,"genuine"
-2.0529,3.8385,-0.79544,-1.2138,"forgery"
0.19081,9.1297,-3.725,-5.8224,"genuine"
0.5195,-3.2633,3.0895,-0.9849,"genuine"
-2.4561,-4.5566,6.4534,-0.056479,"forgery"
-2.2501,3.3129,-0.88369,-2.8974,"forgery"
0.27451,9.2186,-3.2863,-4.8448,"genuine"
